0.99 3.076003e-08 2.893297e-08
0.98 1.230859e-07 1.157749e-07
0.97 2.771151e-07 2.606591e-07
0.96 4.930775e-07 4.638233e-07
0.95 7.712955e-07 7.256481e-07
0.94 1.112185e-06 1.046453e-06
0.93 1.516258e-06 1.426859e-06
0.92 1.984121e-06 1.867462e-06
0.91 2.516480e-06 2.368996e-06
0.90 3.114139e-06 2.932256e-06
0.89 3.778005e-06 3.557981e-06
0.88 4.509090e-06 4.247623e-06
0.87 5.308514e-06 5.002210e-06
0.86 6.177505e-06 5.822782e-06
0.85 7.117409e-06 6.710342e-06
0.84 8.129685e-06 7.667464e-06
0.83 9.215917e-06 8.695322e-06
0.82 1.037782e-05 9.796153e-06
0.81 1.161722e-05 1.097117e-05
0.80 1.293612e-05 1.222486e-05
0.79 1.433662e-05 1.355699e-05
0.78 1.582100e-05 1.497215e-05
0.77 1.739168e-05 1.647176e-05
0.76 1.905126e-05 1.805907e-05
0.75 2.080252e-05 1.973716e-05
0.74 2.264835e-05 2.151189e-05
0.73 2.459194e-05 2.338541e-05
0.72 2.663656e-05 2.536212e-05
0.71 2.878580e-05 2.744714e-05
0.70 3.104336e-05 2.964806e-05
0.69 3.341330e-05 3.196426e-05
0.68 3.589989e-05 3.440555e-05
0.67 3.850761e-05 3.697617e-05
0.66 4.124121e-05 3.969219e-05
0.65 4.410579e-05 4.254955e-05
0.64 4.710674e-05 4.555462e-05
0.63 5.024979e-05 4.872497e-05
0.62 5.354112e-05 5.206467e-05
0.61 5.698686e-05 5.558600e-05
0.60 6.059408e-05 5.930148e-05
0.59 6.437006e-05 6.322327e-05
0.58 6.832255e-05 6.736532e-05
0.57 7.245976e-05 7.174404e-05
0.56 7.679065e-05 7.637787e-05
0.55 8.132321e-05 8.128384e-05
0.54 8.607179e-05 8.647940e-05
0.53 9.104554e-05 9.199180e-05
0.52 9.625375e-05 9.783935e-05
0.51 1.017074e-04 1.040560e-04
0.50 1.074252e-04 1.106678e-04
